Jitter(local),Jitter(local),Jitter (rap),"Jitter(local, absolute)",Jitter (rap),Jitter (ppq5),Jitter (ppq5),Jitter (ddp),Jitter (ddp),Shimmer (local),Shimmer (local),"Shimmer (local, db)",Shimmer (apq3),Shimmer (apq3),Shimmer (apq5),Shimmer (apq5),Shimmer (apq11),Shimmer (apq11),Shimmer (dda),Shimmer (dda),AC,NDH,HTM,Median Pitch,Mean Pitch,Standard deviation,Minimum pitch,Maximum pitch,Number of pulses,Number of periods,Mean period,Standard deviation of period,Fraction of locally unvoiced frames,Fraction of locally unvoiced frames,Number of voice breaks,Degree of voice breaks,Degree of voice breaks,status
0.0270000,2.7,0.009600,2.22142000E-04,0.96,0.01082,1.082,0.02879,2.879,0.10616,10.616,1.103,0.03519,3.519,0.04898,4.898,0.12179,12.179,0.10556,10.556,0.862253,0.20875,10.833,125.484,121.862,9.924,84.771,142.347,40,39,0.008228183,0.000857796,0.22727,22.727,0,0,0,1
0.0261900,2.619,0.010040,2.22234000E-04,1.004,0.01229,1.229,0.03011,3.011,0.10276,10.276,1.036,0.05355,5.355,0.0672,6.72,0.10328,10.328,0.16065,16.065,0.849297,0.224492,10.177,116.925,118.702,7.166,99.211,127.203,44,43,0.008485039,0.00078324,0.19149,19.149,0,0,0,1
0.0345700,3.457,0.016230,2.89743000E-04,1.623,0.02652,2.652,0.04869,4.869,0.09389,9.389,1.13,0.04548,4.548,0.06338,6.338,0.06708,6.708,0.13644,13.644,0.813023,0.328503,9.254,121.062,119.918,7.579,91.847,129.037,48,47,0.008382442,0.000666035,0.075,7.5,0,0,0,1
0.0266400,2.664,0.011850,2.26138000E-04,1.185,0.01254,1.254,0.03555,3.555,0.1208,12.08,1.229,0.05164,5.164,0.06205,6.205,0.10982,10.982,0.15492,15.492,0.850796,0.218645,9.708,117.366,117.801,8.275,106.055,130.221,68,64,0.008487165,0.000661509,0.1791,17.91,2,0.18408,18.408,1
0.0353100,3.531,0.016950,2.97458000E-04,1.695,0.01519,1.519,0.05086,5.086,0.1821,18.21,1.584,0.10211,10.211,0.09219,9.219,0.05059,5.059,0.30634,30.634,0.790583,0.378358,8.114,117.276,119.252,7.796,91.093,131.593,73,71,0.008423551,0.000736068,0.09836,9.836,1,0.02855,2.855,1
0.0416200,4.162,0.020230,3.47490000E-04,2.023,0.0241,2.41,0.06068,6.068,0.17922,17.922,1.654,0.09617,9.617,0.13026,13.026,0.3346,33.46,0.28851,28.851,0.745181,0.438201,5.953,119.57,119.766,8.098,95.659,135.859,64,62,0.008349625,0.000707127,0.26471,26.471,1,0.0816,8.16,1
0.0334000,3.34,0.017050,2.55601000E-04,1.705,0.01772,1.772,0.05116,5.116,0.13053,13.053,1.308,0.05658,5.658,0.07013,7.013,0.13321,13.321,0.16973,16.973,0.873984,0.1808,11.139,133.318,131.055,8.661,112.571,143.136,67,65,0.007651962,0.000584935,0.0566,5.66,1,0.0761,7.61,1
0.0367100,3.671,0.016600,3.05225000E-04,1.66,0.01687,1.687,0.04979,4.979,0.10203,10.203,0.922,0.04369,4.369,0.05335,5.335,0.07554,7.554,0.13107,13.107,0.913298,0.111717,12.6,125.274,120.851,7.859,105.595,129.495,35,34,0.008314574,0.000817099,0,0,0,0,0,1
0.0331400,3.314,0.014850,2.47864000E-04,1.485,0.02056,2.056,0.04456,4.456,0.13296,13.296,1.353,0.05363,5.363,0.08725,8.725,0.14178,14.178,0.1609,16.09,0.79618,0.3465,8.091,132.447,134.598,47.715,90.056,488.771,163,152,0.007479293,0.001553044,0.21053,21.053,6,0.23331,23.331,1
0.0202600,2.026,0.010060,1.66640000E-04,1.006,0.01091,1.091,0.03019,3.019,0.09969,9.969,1.096,0.03746,3.746,0.05717,5.717,0.12918,12.918,0.11237,11.237,0.913536,0.126997,12.8,124.529,122.049,7.082,104.583,131.336,141,140,0.008226268,0.000584275,0.01724,1.724,0,0,0,1
0.0309000,3.09,0.016470,2.46105000E-04,1.647,0.01947,1.947,0.0494,4.94,0.15265,15.265,1.348,0.07161,7.161,0.10888,10.888,0.16693,16.693,0.21482,21.482,0.850413,0.205923,8.891,125.337,125.417,10.161,102.592,144.378,142,141,0.007964066,0.000722643,0,0,0,0,0,1
0.0451000,4.51,0.020290,3.50085000E-04,2.029,0.02648,2.648,0.06087,6.087,0.11404,11.404,1.099,0.04208,4.208,0.06252,6.252,0.14629,14.629,0.12625,12.625,0.793163,0.35542,7.474,125.218,133.825,55.256,87.897,492.198,165,155,0.007763069,0.001407042,0.07576,7.576,3,0.0621,6.21,1
0.0448000,4.48,0.021350,3.31485000E-04,2.135,0.02115,2.115,0.06404,6.404,0.13302,13.302,1.387,0.06023,6.023,0.05351,5.351,0.12155,12.155,0.18069,18.069,0.784669,0.388293,8.559,134.478,132.351,7.976,112.466,146.29,38,35,0.007399227,0.000508007,0.27778,27.778,2,0.13496,13.496,1
0.0120700,1.207,0.005440,9.67940000E-05,0.544,0.00476,0.476,0.01633,1.633,0.09116,9.116,0.83,0.04318,4.318,0.04756,4.756,0.09184,9.184,0.12954,12.954,0.954497,0.052355,15.012,124.451,124.997,4.003,117.304,131.942,62,61,0.008021146,0.000328667,0.04,4,0,0,0,1
0.0309400,3.094,0.018010,2.37371000E-04,1.801,0.02033,2.033,0.05404,5.404,0.10363,10.363,0.991,0.0533,5.33,0.06765,6.765,0.1018,10.18,0.1599,15.99,0.867731,0.212422,10.864,129.305,129.577,3.096,125.284,140.086,72,71,0.00767235,0.000345063,0.03636,3.636,0,0,0,1
0.0301700,3.017,0.015130,2.40587000E-04,1.513,0.0119,1.19,0.04538,4.538,0.13811,13.811,1.193,0.06679,6.679,0.08176,8.176,0.10962,10.962,0.20038,20.038,0.872737,0.204405,11.266,124.988,125.002,5,114.614,134.658,65,64,0.007973953,0.000422458,0.04,4,0,0,0,1
0.0142400,1.424,0.006940,1.12419000E-04,0.694,0.00697,0.697,0.02081,2.081,0.12156,12.156,1.311,0.04556,4.556,0.05638,5.638,0.12105,12.105,0.13667,13.667,0.866658,0.229121,11.476,127.432,126.624,6.966,114.905,135.764,59,57,0.007895534,0.000454851,0.08696,8.696,1,0.04225,4.225,1
0.0256900,2.569,0.011470,1.91173000E-04,1.147,0.01307,1.307,0.0344,3.44,0.11869,11.869,1.087,0.04683,4.683,0.07043,7.043,0.18503,18.503,0.14048,14.048,0.906936,0.145805,13.094,135.36,133.529,7.66,108.568,140.642,47,44,0.007442037,0.000634061,0.28302,28.302,2,0.37244,37.244,1
0.0103700,1.037,0.005270,7.75070000E-05,0.527,0.00528,0.528,0.01582,1.582,0.06155,6.155,0.609,0.02189,2.189,0.03912,3.912,0.07725,7.725,0.06568,6.568,0.976609,0.024482,17.804,136.672,133.958,5.067,126.103,139.455,60,59,0.007470585,0.000299932,0,0,0,0,0,1
0.0271600,2.716,0.012540,2.05043000E-04,1.254,0.01585,1.585,0.03763,3.763,0.09803,9.803,0.969,0.03698,3.698,0.05825,5.825,0.11565,11.565,0.11093,11.093,0.909214,0.146779,14.443,134.927,133.078,6.362,113.37,141.643,64,62,0.007549551,0.000557459,0.1,10,1,0.07913,7.913,1
0.0179700,1.797,0.008850,1.51423000E-04,0.885,0.01096,1.096,0.02656,2.656,0.15181,15.181,1.361,0.06144,6.144,0.0922,9.22,0.14208,14.208,0.18432,18.432,0.896388,0.131331,11.208,119.722,118.318,6.818,104.508,135.94,50,49,0.00842455,0.000564443,0.13043,13.043,0,0,0,1
0.0149300,1.493,0.009120,6.37660000E-05,0.912,0.00822,0.822,0.02735,2.735,0.11521,11.521,1.068,0.05552,5.552,0.07495,7.495,0.1072,10.72,0.16657,16.657,0.913043,0.099982,10.744,240.722,234.117,14.841,212.176,260.57,102,101,0.00426967,0.000279215,0,0,0,0,0,1
0.0149700,1.497,0.008920,7.04370000E-05,0.892,0.00889,0.889,0.02676,2.676,0.10703,10.703,1.028,0.05592,5.592,0.0757,7.57,0.09096,9.096,0.16776,16.776,0.939583,0.071136,13.691,214.201,212.609,18.817,177.005,237.183,134,133,0.004703759,0.000427468,0,0,0,0,0,1
0.0154200,1.542,0.009380,7.43760000E-05,0.938,0.00915,0.915,0.02813,2.813,0.1198,11.98,1.16,0.0593,5.93,0.07758,7.758,0.11368,11.368,0.1779,17.79,0.914887,0.101791,11.364,209.18,207.343,17.765,176.207,237.754,123,122,0.004824585,0.000422345,0.09231,9.231,0,0,0,1
0.0216200,2.162,0.011310,1.00978000E-04,1.131,0.01215,1.215,0.03393,3.393,0.11043,11.043,1.199,0.05316,5.316,0.06742,6.742,0.11269,11.269,0.15948,15.948,0.910303,0.116066,11.933,219.238,213.395,28.528,163.177,253.181,91,90,0.004670812,0.000645282,0,0,0,0,0,1
0.0284800,2.848,0.011270,1.19225000E-04,1.127,0.01265,1.265,0.0338,3.38,0.1366,13.66,1.316,0.06132,6.132,0.08779,8.779,0.14949,14.949,0.18396,18.396,0.844467,0.23006,9.126,212.064,244.441,104.929,84.451,492.985,121,109,0.004186106,0.001629262,0.35,35,1,0.22537,22.537,1
0.0236700,2.367,0.013720,1.21108000E-04,1.372,0.0114,1.14,0.04116,4.116,0.18009,18.009,1.607,0.09216,9.216,0.12437,12.437,0.19953,19.953,0.27649,27.649,0.886265,0.146728,9.929,199.464,196.029,10.346,178.375,212.061,92,91,0.005115513,0.000305656,0.45238,45.238,0,0,0,1
0.0165100,1.651,0.009430,8.45190000E-05,0.943,0.01018,1.018,0.02829,2.829,0.16184,16.184,1.448,0.08441,8.441,0.09489,9.489,0.1561,15.61,0.25322,25.322,0.907558,0.110155,10.552,197.002,195.245,9.842,167.56,210.277,99,98,0.005118873,0.000290463,0.34177,34.177,0,0,0,1
0.0135200,1.352,0.008050,6.92750000E-05,0.805,0.0078,0.78,0.02416,2.416,0.14311,14.311,1.363,0.0702,7.02,0.0908,9.08,0.09597,9.597,0.21061,21.061,0.921461,0.088314,11.291,192.86,195.149,6.649,183.689,211.814,95,94,0.005124336,0.00018795,0.4023,40.23,0,0,0,1
0.0168000,1.68,0.008810,8.22770000E-05,0.881,0.00906,0.906,0.02642,2.642,0.1482,14.82,1.363,0.06794,6.794,0.10376,10.376,0.18767,18.767,0.20382,20.382,0.876104,0.152867,9.059,200.263,204.084,19.556,178.016,243.267,150,148,0.004898281,0.000463312,0.34188,34.188,1,0.27645,27.645,1
0.0192200,1.922,0.011650,9.49700000E-05,1.165,0.01145,1.145,0.03495,3.495,0.16135,16.135,1.336,0.08469,8.469,0.10666,10.666,0.17717,17.717,0.25407,25.407,0.901713,0.113026,10.12,199.236,202.576,10.879,173.035,218.175,105,103,0.004941413,0.000274444,0.25,25,1,0.25884,25.884,1
0.0370600,3.706,0.019090,1.49517000E-04,1.909,0.01903,1.903,0.05728,5.728,0.13062,13.062,1.251,0.05558,5.558,0.0763,7.63,0.115,11.5,0.16674,16.674,0.838824,0.2369,8.884,212.002,250.432,103.511,167.324,492.67,129,122,0.004034366,0.001347657,0.53125,53.125,1,0.10202,10.202,1
0.0219900,2.199,0.012260,1.03720000E-04,1.226,0.01243,1.243,0.03678,3.678,0.16345,16.345,1.345,0.06365,6.365,0.10168,10.168,0.15329,15.329,0.19096,19.096,0.853699,0.19335,8.701,211.696,212.013,16.924,181.822,235.288,112,109,0.004717576,0.000402391,0.5339,53.39,1,0.1451,14.51,1
0.0190900,1.909,0.009090,8.89520000E-05,0.909,0.01214,1.214,0.02726,2.726,0.13255,13.255,1.333,0.05768,5.768,0.08219,8.219,0.16005,16.005,0.17303,17.303,0.893378,0.129422,10.342,216.023,215.344,30.866,167.708,270.718,54,53,0.004658544,0.000682572,0.38462,38.462,0,0,0,1
0.0275700,2.757,0.014090,1.26683000E-04,1.409,0.01489,1.489,0.04226,4.226,0.19646,19.646,1.692,0.10629,10.629,0.11795,11.795,0.17845,17.845,0.31888,31.888,0.819205,0.24364,7.239,216.694,218.61,31.707,170.904,266.05,91,86,0.004594592,0.000665521,0.69481,69.481,4,0.55351,55.351,1
0.0262400,2.624,0.014360,1.20884000E-04,1.436,0.01558,1.558,0.04309,4.309,0.18624,18.624,1.641,0.09593,9.593,0.126,12.6,0.23938,23.938,0.2878,28.78,0.834927,0.219431,7.754,209.441,217.476,24.316,167.694,274.273,248,244,0.004607402,0.000534034,0.3871,38.71,3,0.30081,30.081,1
0.0319700,3.197,0.017570,1.50645000E-04,1.757,0.01545,1.545,0.05271,5.271,0.1417,14.17,1.327,0.06753,6.753,0.08313,8.313,0.12558,12.558,0.2026,20.26,0.850245,0.192441,8.331,211.044,213.774,19.501,178.101,254.681,144,140,0.004711859,0.000488135,0.43089,43.089,3,0.36137,36.137,1
0.0275000,2.75,0.013950,1.32039000E-04,1.395,0.01371,1.371,0.04185,4.185,0.187,18.7,1.573,0.08876,8.876,0.12172,12.172,0.17822,17.822,0.26628,26.628,0.831482,0.23133,7.66,209.106,209.357,18.63,177.576,242.555,135,129,0.004801401,0.000504276,0.60241,60.241,4,0.28583,28.583,1
0.0952000,9.52,0.055160,3.81367000E-04,5.516,0.07205,7.205,0.16547,16.547,0.41137,41.137,2.527,0.11296,11.296,0.109622,10.9622,0.15306125,15.306125,0.33889,33.889,0.631711,0.585636,2.35,273.274,273.274,0.533,272.897,273.651,6,5,0.004006104,0.000319435,0.68421,68.421,0,0,0,1
0.0262700,2.627,0.014150,1.10117000E-04,1.415,0.01623,1.623,0.04244,4.244,0.19426,19.426,1.494,0.10987,10.987,0.13725,13.725,0.15226,15.226,0.32961,32.961,0.893345,0.134576,10.747,220.79,240.964,71.851,207.141,486.941,123,120,0.004191336,0.00091808,0.08929,8.929,0,0,0,1
0.0350800,3.508,0.021280,1.74540000E-04,2.128,0.01886,1.886,0.06385,6.385,0.1934,19.34,1.731,0.09738,9.738,0.12458,12.458,0.20492,20.492,0.29213,29.213,0.844232,0.203076,7.939,208.352,201.122,16.931,173.404,224.463,79,77,0.004974999,0.000433441,0.43038,43.038,1,0.24822,24.822,1
0.0343200,3.432,0.017710,1.63799000E-04,1.771,0.01986,1.986,0.05312,5.312,0.22287,22.287,1.941,0.11156,11.156,0.11682,11.682,0.10883,10.883,0.33467,33.467,0.825716,0.236048,7.605,187.33,232.637,112.413,177.193,491.99,44,37,0.004772492,0.001286597,0.55357,55.357,1,0.13362,13.362,1
0.0590600,5.906,0.032690,2.28643000E-04,3.269,0.02293,2.293,0.09806,9.806,0.24417,24.417,1.941,0.14031,14.031,0.3175,31.75,0.15306125,15.306125,0.42094,42.094,0.720083,0.423038,4.377,92.842,261.022,188.464,86.474,487.714,50,41,0.0038713,0.00366318,0.58571,58.571,3,0.16743,16.743,1
0.0466100,4.661,0.023040,1.61610000E-04,2.304,0.0241,2.41,0.06911,6.911,0.20138,20.138,1.791,0.08695,8.695,0.11631,11.631,0.12581,12.581,0.26086,26.086,0.820344,0.24947,7.558,231.789,289.478,116.094,165.567,489.699,127,114,0.003467626,0.001319249,0.52,52,4,0.32816,32.816,1
0.0340500,3.405,0.018890,1.63372000E-04,1.889,0.02028,2.028,0.05667,5.667,0.21984,21.984,1.801,0.10111,10.111,0.14385,14.385,0.20651,20.651,0.30332,30.332,0.87684,0.176699,10.177,207.223,209.042,11.248,187.787,229.392,88,87,0.004797814,0.000348465,0.04545,4.545,0,0,0,1
0.0187100,1.871,0.008030,8.71510000E-05,0.803,0.01011,1.011,0.02408,2.408,0.12524,12.524,1.208,0.06991,6.991,0.07522,7.522,0.0841,8.41,0.20973,20.973,0.895159,0.154982,12.215,209.237,214.7,17.783,176.878,245.833,100,97,0.004656888,0.000399781,0.07843,7.843,0,0,0,1
0.0558100,5.581,0.031060,1.91436000E-04,3.106,0.03057,3.057,0.09317,9.317,0.12628,12.628,1.38,0.05991,5.991,0.09613,9.613,0.25061,25.061,0.17973,17.973,0.747041,0.44544,6.534,219.335,296.496,132.796,164.844,468.173,108,98,0.003430339,0.001605229,0.34545,34.545,1,0.24468,24.468,1
0.0060700,0.607,0.003570,2.46480000E-05,0.357,0.00378,0.378,0.01071,1.071,0.09491,9.491,0.887,0.05349,5.349,0.05733,5.733,0.0645,6.45,0.16047,16.047,0.949792,0.054203,13.452,245.445,246.303,3.191,240.788,254.963,354,353,0.004061234,0.000059931,0,0,0,0,0,1
0.0028700,0.287,0.001560,1.11320000E-05,0.156,0.00172,0.172,0.00469,0.469,0.04788,4.788,0.452,0.02537,2.537,0.03068,3.068,0.03688,3.688,0.07612,7.612,0.986423,0.013882,19.587,256.01,257.926,7.191,245.601,275.277,446,445,0.003877367,0.000107532,0,0,0,0,0,1
0.0058500,0.585,0.003560,2.25080000E-05,0.356,0.00349,0.349,0.01067,1.067,0.07978,7.978,0.793,0.03986,3.986,0.04672,4.672,0.0595,5.95,0.11957,11.957,0.970393,0.031713,16.884,256.526,260.067,14.697,237.448,291.376,408,407,0.003845774,0.000216149,0,0,0,0,0,1
